source_id,time,filter,mag
S251023dx,0.0,g,22.34512041871578
S251023dx,0.0,i,22.227204962910207
S251023dx,0.0,r,22.129783999647042
S251023dx,0.0,u,22.36070941504503
S251023dx,0.0,y,23.288144737067356
S251023dx,0.0,z,22.624708543170605
S251023dx,0.1,g,22.34512041871578
S251023dx,0.1,i,22.227204962910207
S251023dx,0.1,r,22.129783999647042
S251023dx,0.1,u,22.36070941504503
S251023dx,0.1,y,23.288144737067356
S251023dx,0.1,z,22.624708543170605
S251023dx,0.2,g,21.63392595982276
S251023dx,0.2,i,22.442419599869936
S251023dx,0.2,r,21.896953656333963
S251023dx,0.2,u,22.22160898244187
S251023dx,0.2,y,23.26533673779055
S251023dx,0.2,z,22.508921527753174
S251023dx,0.30000000000000004,g,20.340519441227116
S251023dx,0.30000000000000004,i,20.774451326066483
S251023dx,0.30000000000000004,r,20.425980531175966
S251023dx,0.30000000000000004,u,20.921749474818693
S251023dx,0.30000000000000004,y,21.34721298462207
S251023dx,0.30000000000000004,z,20.97203866054874
S251023dx,0.4,g,19.34110699236052
S251023dx,0.4,i,19.397285133669385
S251023dx,0.4,r,19.29805507656873
S251023dx,0.4,u,19.74522747504288
S251023dx,0.4,y,19.604989456590204
S251023dx,0.4,z,19.517674559096896
S251023dx,0.5,g,18.889421753787165
S251023dx,0.5,i,18.837126304149624
S251023dx,0.5,r,18.786378754611203
S251023dx,0.5,u,19.44926896572743
S251023dx,0.5,y,18.985659130272083
S251023dx,0.5,z,18.89678325615348
S251023dx,0.6000000000000001,g,18.556510777335976
S251023dx,0.6000000000000001,i,18.396075878213814
S251023dx,0.6000000000000001,r,18.35641929271558
S251023dx,0.6000000000000001,u,19.23030651816805
S251023dx,0.6000000000000001,y,18.56803656809119
S251023dx,0.6000000000000001,z,18.461900200086824
S251023dx,0.7000000000000001,g,18.40375844593415
S251023dx,0.7000000000000001,i,18.167910823935774
S251023dx,0.7000000000000001,r,18.145091637135504
S251023dx,0.7000000000000001,u,19.098461993681923
S251023dx,0.7000000000000001,y,18.300541909477147
S251023dx,0.7000000000000001,z,18.226562348062345
S251023dx,0.8,g,18.222778634761298
S251023dx,0.8,i,17.868576314191735
S251023dx,0.8,r,17.930616680122537
S251023dx,0.8,u,19.075402122987015
S251023dx,0.8,y,18.038803104933752
S251023dx,0.8,z,17.934896016066702
S251023dx,0.9,g,18.171593766494215
S251023dx,0.9,i,17.717511921559343
S251023dx,0.9,r,17.82950674883227
S251023dx,0.9,u,19.137082480244768
S251023dx,0.9,y,17.882117381346458
S251023dx,0.9,z,17.764909333662608
S251023dx,1.0,g,18.183106595784476
S251023dx,1.0,i,17.611358901310933
S251023dx,1.0,r,17.761434677275837
S251023dx,1.0,u,19.26819971026184
S251023dx,1.0,y,17.712096631470313
S251023dx,1.0,z,17.613977400821753
S251023dx,1.1,g,18.225936395954434
S251023dx,1.1,i,17.528605750542333
S251023dx,1.1,r,17.72136344969871
S251023dx,1.1,u,19.459871243244873
S251023dx,1.1,y,17.551750021866003
S251023dx,1.1,z,17.488748714827125
S251023dx,1.2000000000000002,g,18.30466357893311
S251023dx,1.2000000000000002,i,17.520131190153794
S251023dx,1.2000000000000002,r,17.74667569931587
S251023dx,1.2000000000000002,u,19.64097516454958
S251023dx,1.2000000000000002,y,17.476619707493107
S251023dx,1.2000000000000002,z,17.446690097246783
S251023dx,1.3,g,18.429130215696492
S251023dx,1.3,i,17.571764498120956
S251023dx,1.3,r,17.836348263393354
S251023dx,1.3,u,19.865677647120886
S251023dx,1.3,y,17.4676516298759
S251023dx,1.3,z,17.460887610929138
S251023dx,1.4000000000000001,g,18.58027283676552
S251023dx,1.4000000000000001,i,17.635423089033313
S251023dx,1.4000000000000001,r,17.947466551581496
S251023dx,1.4000000000000001,u,20.126845647898513
S251023dx,1.4000000000000001,y,17.472909512815477
S251023dx,1.4000000000000001,z,17.48501304462849
S251023dx,1.5,g,18.745485623428696
S251023dx,1.5,i,17.714474477243915
S251023dx,1.5,r,18.068627541877884
S251023dx,1.5,u,20.339045660449425
S251023dx,1.5,y,17.486968277863078
S251023dx,1.5,z,17.520302677319048
S251023dx,1.6,g,18.90070239714488
S251023dx,1.6,i,17.795963670460612
S251023dx,1.6,r,18.176154291171386
S251023dx,1.6,u,20.5138155400809
S251023dx,1.6,y,17.51746831198823
S251023dx,1.6,z,17.56320496774991
S251023dx,1.7000000000000002,g,19.03434959443494
S251023dx,1.7000000000000002,i,17.861597602011805
S251023dx,1.7000000000000002,r,18.256594118879832
S251023dx,1.7000000000000002,u,20.686684145471812
S251023dx,1.7000000000000002,y,17.55673344397071
S251023dx,1.7000000000000002,z,17.603225506901552
S251023dx,1.8,g,19.157109107239613
S251023dx,1.8,i,17.920728141885615
S251023dx,1.8,r,18.328835641545755
S251023dx,1.8,u,20.851524467369966
S251023dx,1.8,y,17.59546639838826
S251023dx,1.8,z,17.64324947711965
S251023dx,1.9000000000000001,g,19.282969478840513
S251023dx,1.9000000000000001,i,17.988574709661027
S251023dx,1.9000000000000001,r,18.414142854956832
S251023dx,1.9000000000000001,u,21.00807832335537
S251023dx,1.9000000000000001,y,17.632669591317853
S251023dx,1.9000000000000001,z,17.690691457731994
S251023dx,2.0,g,19.431652942855592
S251023dx,2.0,i,18.08152750657811
S251023dx,2.0,r,18.533762621627986
S251023dx,2.0,u,21.177931249215668
S251023dx,2.0,y,17.679433935350257
S251023dx,2.0,z,17.7565149297471
S251023dx,2.1,g,19.605259006452723
S251023dx,2.1,i,18.204135818149293
S251023dx,2.1,r,18.689256710179276
S251023dx,2.1,u,21.372909597671782
S251023dx,2.1,y,17.7484093237478
S251023dx,2.1,z,17.846594117619645
S251023dx,2.2,g,19.784988465782682
S251023dx,2.2,i,18.34096874848449
S251023dx,2.2,r,18.858276945789967
S251023dx,2.2,u,21.579025746162863
S251023dx,2.2,y,17.835228978750926
S251023dx,2.2,z,17.95123965774281
S251023dx,2.3000000000000003,g,19.957537108985388
S251023dx,2.3000000000000003,i,18.470267307538077
